snapped_at,price,market_cap,total_volume
2022-07-06T00:00:00.000Z,20194.6194989241,392200896304.73,24598943708.23
2022-07-07T00:00:00.000Z,20547.8142411523,413013947459.11,25814972520.24
2022-07-08T00:00:00.000Z,21637.1550515826,414819851681.33,49899834488.21
2022-07-09T00:00:00.000Z,21716.8285854815,412185216767.56,29641127858.06
2022-07-10T00:00:00.000Z,21591.0808021627,398237577323.43,28688807249.03
2022-07-11T00:00:00.000Z,20856.352967685,381264246558.41,24150249024.63
2022-07-12T00:00:00.000Z,19970.4750229398,368936762200.6,25810220017.7
2022-07-13T00:00:00.000Z,19325.9727246501,385908229967.86,33042430345.48
2022-07-14T00:00:00.000Z,20211.4659555454,392755738689.37,31158743333.4
2022-07-15T00:00:00.000Z,20573.1562979175,397861215081.44,25905575358.62
2022-07-16T00:00:00.000Z,20834.104129429,404639672831.08,24302954056.04
2022-07-17T00:00:00.000Z,21195.0412138346,396808327004.88,22927802082.64
2022-07-18T00:00:00.000Z,20781.9115039967,429412153274.1,39974475561.94
2022-07-19T00:00:00.000Z,22467.8500961444,446690803766.25,48765202697.15
2022-07-20T00:00:00.000Z,23393.1920116301,443696738856.27,42932549127.33
2022-07-21T00:00:00.000Z,23233.2019709128,442435421338.91,33631012203.97
2022-07-22T00:00:00.000Z,23163.7520625768,433866028177.06,31421555645.94
2022-07-23T00:00:00.000Z,22706.9834272109,429122209145.36,24021799168.58
2022-07-24T00:00:00.000Z,22465.5092660661,431888879541.1,23565495302.99
2022-07-25T00:00:00.000Z,22607.1555467717,408078695877.99,35574561406.16
2022-07-26T00:00:00.000Z,21361.1218713035,405770108604.64,28624673855.33
2022-07-27T00:00:00.000Z,21244.1695591889,438095993233.22,31758955233.31
2022-07-28T00:00:00.000Z,22933.6412489688,455565748691.77,40212386157.74
2022-07-29T00:00:00.000Z,23845.2123738942,454837507676.2,35887249745.78
2022-07-30T00:00:00.000Z,23796.8186106216,452020722098.65,28148218300.58
2022-07-31T00:00:00.000Z,23652.0696621219,445941074223.04,23553591896.25
2022-08-01T00:00:00.000Z,23336.7180518604,445527356895.96,25849159140.74
2022-08-02T00:00:00.000Z,23308.434172793,439128030641.55,28389250717.43
2022-08-03T00:00:00.000Z,22981.3027057546,436633304289.21,26288169966.18
2022-08-04T00:00:00.000Z,22848.2143845004,432532599006.89,25120229769.19
2022-08-05T00:00:00.000Z,22626.8333912751,445137234251.88,28881249043.31
2022-08-06T00:00:00.000Z,23291.4240607937,438890198160.7,15978259884.75
2022-08-07T00:00:00.000Z,22963.5062436219,443014963855.4,15886817042.79
2022-08-08T00:00:00.000Z,23179.5270499854,455148536623.69,28575544847.49
2022-08-09T00:00:00.000Z,23811.4835215919,442835162483.49,23555719218.86
2022-08-10T00:00:00.000Z,23162.898849424,457833729141.91,32837431721.55
2022-08-11T00:00:00.000Z,23948.346127206,458043109398.07,37127036580.1
2022-08-12T00:00:00.000Z,23957.2030605314,466578839477.74,27265804687.74
2022-08-13T00:00:00.000Z,24402.187470618,467007252128.58,22987346288.83
2022-08-14T00:00:00.000Z,24429.0574370816,465024405299.05,22994133555.22
2022-08-15T00:00:00.000Z,24318.3154830385,461560003436.79,35123501684.8
2022-08-16T00:00:00.000Z,24126.1364825776,456730745422.92,27753685645.65
2022-08-17T00:00:00.000Z,23881.3155123574,446283604019.97,30931623076.08
2022-08-18T00:00:00.000Z,23341.0389780106,443947256035.75,23747613147.14
2022-08-19T00:00:00.000Z,23213.3132415999,399309311305.82,40509610259.78
2022-08-20T00:00:00.000Z,20872.8421735014,404848126556.26,27595671000.41
2022-08-21T00:00:00.000Z,21160.3927831764,411906673576.29,23102307723.19
2022-08-22T00:00:00.000Z,21531.4638488066,409340103013.27,31666498757.58
2022-08-23T00:00:00.000Z,21401.0456699597,411833237128.08,31878280659.1
2022-08-24T00:00:00.000Z,21526.4555930855,409308514098.09,31962253368.02
2022-08-25T00:00:00.000Z,21395.4583899891,413267825941.47,31028679593.0
2022-08-26T00:00:00.000Z,21596.085314557,387636192940.59,42326789563.56
2022-08-27T00:00:00.000Z,20262.4803110224,383478483268.59,30116729775.56
2022-08-28T00:00:00.000Z,20041.0348039542,375367382007.85,24366810590.82
2022-08-29T00:00:00.000Z,19615.1533628598,388422039679.33,32637854077.72
2022-08-30T00:00:00.000Z,20298.61208083,378850670474.32,34483360282.77
2022-08-31T00:00:00.000Z,19799.5813157872,383710102294.98,33225232872.06
